MLP,Patente,Altura,Ancho,Largo,Modelo,Año,Largo Carga,Superficie Carga m3,Cantidad de Pallet,Capacidad de carga M3,Altura Carga,Ancho Carga,Tipo,SI
QX Logistica,CVL344,3.2,2.2,6.7,MERCEDES BENZ 914,1999,4.7,10.34,7.833.333.333,18.8,2,2,Chasis,Si
QX Logistica,SSB933,2.8,2.4,7.1,MERCEDES BENZ L 913,1994,5.1,12.24,7.48,17.952,1.6,2.2,Chasis Liviano,Si
QX Logistica,AA503OU,3.2,2.3,7.2,MERCEDES BENZ ACCELO 815,2016,5.2,11.96,9.1,21.84,2,2.1,Chasis,Si
QX Logistica,DVF454,3.2,2.3,7,AGRALE 8500,2001,5,11.5,8.75,21,2,2.1,Chasis,Si
ELOG,BGL036,3.2,2.25,8.2,DEUTZ AGRALE DYNAMIC-11,1997,6.2,13.95,11.625,44.64,2,02.05,Chasis Pesado,Si
ELOG,JVM241,2.7,2,7.2,IVECO DAILY 55C16 PASO 3950,2011,5.2,10.4,8.666.666.667,28.08,1.5,1.8,Chasis Pesado,Si
ELOG,LUD311,3.8,2.5,9.5,MERCEDES BENZ ATEGO 1418,2012,7.5,18.75,15.625,71.25,2,2.2,Chasis Pesado,Si
ELOG,AB915RS,3.2,2.5,7.4,FORD CARGO 916,2017,5.4,13.5,11.25,43.2,2,2.2,Chasis Pesado,Si
ELOG,EMZ914,3.1,2.4,7.4,MERCEDES BENZ 710,2004,5.4,12.96,10.8,40.176,1.9,2.2,Chasis Pesado,Si
ELOG,DNZ787,3.2,2.3,7.3,MERCEDES BENZ 712C,2000,5.3,12.19,1.015.833.333,39.008,2,2.1,Chasis Pesado,Si
ELOG,WCZ846,2.9,2.3,6.7,FORD F-350,1974,4.7,10.81,9.008.333.333,31.349,1.7,2.1,Chasis Pesado,Si
ELOG,AQR790,3.6,2.4,6.5,DEUTZ AGRALE DYNAMIC 10,1996,4.5,10.8,9,38.88,2,2.2,Chasis Pesado,Si
ELOG,HJW019,3.2,2.6,8.9,FORD CARGO 1317E,2008,6.9,17.94,14.95,57.408,2,2.2,Chasis Pesado,Si
ELOG,CAO652,3,2.1,6.1,MERCEDES BENZ SPRINTER 310C/CH 3550,1998,4.1,8.61,7.175,25.83,1.8,1.9,Chasis Pesado,Si
